phase	literal	pos	family	voice	note	trust	stratum	verdict	fix_pos	fix_family	fix_voice	audit_note
p3	一個二個	x	idiom		audit-med;review;p2-idiom:一X?Y;p2-idiom-heuristic	high	high|gate|idiom					
p3	全力以赴	v	idiom		audit-high;review	high	high|gate|idiom					
p3	斷斷續續	a,r	idiom		cow-single;p2-idiom:AABB;p2-idiom-heuristic;review;p1-audit;review;AABB 狀態／情狀；非名（cow-single n 假陽）	high	high|gate|idiom					
p3	無處不在	n	idiom		cow-single;p2-idiom:有無對;p2-idiom-heuristic;review	high	high|gate|idiom					
p3	除此之外	r	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review;p1-audit;review;連接／附帶說明短語；非名（len4-noun 假陽會毒同名詞閘）	high	high|gate|idiom					
p3	一些問題	n			len4-noun-heuristic;p3	high	high|gate|plain					
p3	下跌	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain					
p3	不掉	v			verb-suffix;p3;heuristic	high	high|gate|plain					
p3	二十	x			numeral;p3;heuristic	high	high|gate|plain					
p3	人之常情	n			len4-noun-heuristic;p3	high	high|gate|plain					
p3	保存	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain					
p3	信息技術	n			len4-noun-heuristic;p3	high	high|gate|plain					
p3	優質服務	n			len4-noun-heuristic;p3	high	high|gate|plain					
p3	六一	x			numeral;p3;heuristic	high	high|gate|plain					
p3	具體情況	n			len4-noun-heuristic;p3	high	high|gate|plain					
p3	加強	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain					
p3	受益	v		passive	prefix-passive;heuristic	high	high|gate|plain					
p3	受衆	v		passive	prefix-passive;p3;heuristic	high	high|gate|plain					
p3	各級政府	n			len4-noun-heuristic;p3	high	high|gate|plain					
p3	咬住	v			verb-suffix;p3;heuristic	high	high|gate|plain					
p3	國內市場	n			len4-noun-heuristic	high	high|gate|plain					
p3	地方政府	n			len4-noun-heuristic	high	high|gate|plain					
p3	增長	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain					
p3	專業人員	n			len4-noun-heuristic;p3	high	high|gate|plain					
p3	戴住	v			verb-suffix;p3;heuristic	high	high|gate|plain					
p3	托住	v			verb-suffix;p3;heuristic	high	high|gate|plain					
p3	批評	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain					
p3	搜索	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain					
p3	無線網絡	n			len4-noun-heuristic;p3	high	high|gate|plain					
p3	照住	v			verb-suffix;p3;heuristic	high	high|gate|plain					
p3	理工大學	n			len4-noun-heuristic	high	high|gate|plain					
p3	發達國家	n			len4-noun-heuristic;p3	high	high|gate|plain					
p3	監管部門	n			len4-noun-heuristic;p3	high	high|gate|plain					
p3	知識分子	n			len4-noun-heuristic	high	high|gate|plain					
p3	研發中心	n			len4-noun-heuristic;p3	high	high|gate|plain					
p3	研究中心	n			len4-noun-heuristic;p3	high	high|gate|plain					
p3	研究人員	n			len4-noun-heuristic;p3	high	high|gate|plain					
p3	科學技術	n			len4-noun-heuristic;p3	high	high|gate|plain					
p3	立法	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain					
p3	競爭	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain					
p3	管理系統	n			len4-noun-heuristic;p3	high	high|gate|plain					
p3	統一	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain					
