literal	freq	pos	family	voice	note
唱獨角戲	493	v	idiom		
域名搶注	493	n,v			
夢幻泡影	493	n	idiom		
大展鴻圖	493	v	idiom		
完好無缺	493	a	idiom		
強加於人	493	v	idiom		
形跡可疑	493	a			
復活節島	493	n			
德智體美	493	n			
忍飢挨餓	493	v	idiom		
故作姿態	493	v			
殺人案件	493	n			
求賢若渴	493	a,v	idiom		
汗牛充棟	493	a	idiom		
活血止痛	493	v			
滿盤皆輸	493	v	idiom		
瀟灑自如	493	a	idiom		
焚書坑儒	493	n,v	idiom		
狡兔三窟	493	n,v	idiom		
生於憂患	493	v	idiom		
碩大無比	493	a	idiom		
緊密相聯	493	a,v			
羊入虎口	493	v	idiom		
自求多福	493	v	idiom		
財團法人	493	n			
起承轉合	493	n			
金雞獨立	493	n,v	idiom		
魚香茄子	493	n			
不識好歹	492	a,v	idiom		
人心不古	492	a	idiom		
僧多粥少	492	a	idiom		
內分泌腺	492	n			
公共道德	492	n			
動態更新	492	n,v			
印度支那	492	n			
名不符實	492	a	idiom		
后羿射日	492	n,v			
唏哩嘩啦	492	a,r			
多重人格	492	n			
天地良心	492	n,x	idiom		
太陽能板	492	n			
小蘿蔔頭	492	n			
待價而沽	492	v	idiom		
心腹大患	492	n	idiom		
恢復常態	492	v			
愛麗捨宮	492	n			
手寫識別	492	n			
技術援助	492	n			
拉丁字母	492	n			
提綱挈領	492	a,v	idiom		
收發短信	492	v			
望女成鳳	492	v	idiom		
構造運動	492	n			
橢圓曲線	492	n			
死到臨頭	492	a,v	idiom		
由表及裏	492	r,v	idiom		
疾馳而過	492	v			
真槍實彈	492	a,n	idiom		
稱霸世界	492	v			
突圍而出	492	v			
立法委員	492	n			
第一世界	492	n			
萬丈光芒	492	n			
落地簽證	492	n			
血清蛋白	492	n			
貶斥	492	v			
身兼數職	492	v			
進退自如	492	a,v	idiom		
鐵板一塊	492	a,n	idiom		
開山鼻祖	492	n	idiom		
雞鳴狗盜	492	n,v	idiom		
高等動物	492	n			
鳩佔鵲巢	492	v	idiom		
三岔路口	491	n			
事已至此	491	r			
人神共憤	491	a	idiom		
仗義執言	491	v	idiom		
以卵擊石	491	v	idiom		
作風正派	491	a			
傷及無辜	491	v			
兩面三刀	491	a,v	idiom		
兵戎相見	491	v	idiom		
名聞遐邇	491	a	idiom		
名門閨秀	491	n			
嚴絲合縫	491	a	idiom		
地方武裝	491	n			
外界影響	491	n			
多功能表	491	n			
多國部隊	491	n			
天網恢恢	491	a,n	idiom		
平面幾何	491	n			
庭外和解	491	n,v			
心胸狹隘	491	a			
桌椅板凳	491	n			
此起彼落	491	a,v	idiom		
狗血噴頭	491	a,v	idiom		
病魔纏身	491	a,v			
百萬雄師	491	n			
破敗不堪	491	a			
神經膠質	491	n			
窮山惡水	491	a,n	idiom		
紅色高棉	491	n			
肛門直腸	491	n			
蘇打粉	491	n			
證券經營	491	n			
貧弱	491	a			
不加掩飾	490	a,v			
