literal	freq	pos	family	voice	note
長袖善舞	507	a,v	idiom		
人如其名	506	a	idiom		
人工受精	506	n			
凌亂不堪	506	a			
品種改良	506	n,v			
夢溪筆談	506	n			
天誅地滅	506	v,x	idiom		
好言相勸	506	v			
居心不良	506	a	idiom		
拱手相讓	506	v			
拿不出手	506	a,v			
整風運動	506	n			
日落西山	506	a,v	idiom		
明十三陵	506	n			
榮辱與共	506	v	idiom		
水陸兩棲	506	a			
由此可知	506	r,x			
由此看來	506	r,x			
監守自盜	506	v	idiom		
知情同意	506	n			
自掘墳墓	506	v	idiom		
荒淫無度	506	a	idiom		
薩克斯風	506	n			
金華火腿	506	n			
長風破浪	506	v	idiom		
面臨困難	506	v			
餘震不斷	506	a,v			
體外受精	506	n			
齊心合力	506	a,v			
一星半點	505	n,r	idiom		
中俄關系	505	n			
乙狀結腸	505	n			
事必躬親	505	v	idiom		
偶然事件	505	n			
出口成章	505	a,v	idiom		
匈牙利語	505	n			
匍匐前進	505	v			
四氯乙烯	505	n			
大氣環流	505	n			
屍橫遍野	505	a,v	idiom		
左右開弓	505	v	idiom		
心中有鬼	505	a	idiom		
心術不正	505	a	idiom		
忠言逆耳	505	a,n	idiom		
恆常	505	a,r			
悔不當初	505	v,x	idiom		
把兄弟	505	n			
投鼠忌器	505	v	idiom		
攜手並肩	505	a,v			
殃及池魚	505	v	idiom		
浮動匯率	505	n			
牢記在心	505	v			
獲益良多	505	a,v			
生產過剩	505	n			
百口莫辯	505	a,v	idiom		
精神奕奕	505	a			
血汗工廠	505	n			
謀財害命	505	v	idiom		
隋唐演義	505	n			
高頭大馬	505	n			
一葉障目	504	v	idiom		
不求甚解	504	a,v	idiom		
不知所終	504	a,v			
中心內容	504	n			
二氧化錳	504	n			
低空飛行	504	n,v			
入室弟子	504	n			
分組交換	504	n			
喪失殆盡	504	a,v			
地熱資源	504	n			
多難興邦	504	v,x	idiom		
天打雷劈	504	v,x	idiom		
專斷	504	a,v			
小題大作	504	v	idiom		
工業國	504	n			
庫存現金	504	n			
心如死灰	504	a	idiom		
挑燈夜戰	504	v			
捨己救人	504	v	idiom		
日薄西山	504	a,v	idiom		
時運不濟	504	a			
消化器官	504	n			
珍禽異獸	504	n			
絕對零度	504	n			
網絡日記	504	n			
