literal	freq	pos	family	voice	note
宮廷政變	464	n			
尖嘴猴腮	464	a	idiom		成語；尖嘴猴腮
希伯來人	464	n			族名
希伯來書	464	n			聖經卷名
希臘字母	464	n			
底格里斯	464	n			河名 Tigris
延期付款	464	n,v			
抱殘守缺	464	v	idiom		成語；抱殘守缺
擺龍門陣	464	v	idiom		成語；擺龍門陣
支出費用	464	n			
替代燃料	464	n			
有限單元	464	n			有限元
杏仁豆腐	464	n			食名
氣動控制	464	n			
百折不回	464	a	idiom		成語；百折不回
真空地帶	464	n			
穿金戴銀	464	v	idiom		成語；穿金戴銀
立等可取	464	a,v	idiom		成語；立等可取
缺斤短兩	464	a,v	idiom		成語；缺斤短兩
老弱婦孺	464	n	idiom		成語；老弱婦孺
黃花閨女	464	n	idiom		成語；黃花閨女
一飽口福	463	v	idiom		成語；一飽口福
七級浮屠	463	n	idiom		成語截；救人一命勝造七級浮屠
不入虎穴	463	v	idiom		成語截；不入虎穴焉得虎子
切削速度	463	n			
刑庭	463	n			
去其糟粕	463	v			常連「取其精華」
國家興亡	463	n			常連「匹夫有責」
天地不容	463	a,v	idiom		成語；天地不容
妻兒老小	463	n	idiom		成語；妻兒老小
山羊鬍子	463	n			
志在千里	463	a,v	idiom		成語；志在千里
成何體統	463	a	idiom		成語；成何體統
智能設計	463	n			
杯弓蛇影	463	n,v	idiom		成語；杯弓蛇影
標準狀態	463	n			
知易行難	463	a	idiom		成語；知易行難
私定終身	463	v	idiom		成語；私定終身
節哀順變	463	v	idiom		成語；節哀順變
開山祖師	463	n	idiom		成語；開山祖師
集市貿易	463	n			
食慾不佳	463	a			
飽和溶液	463	n			
駕鶴西去	463	v	idiom		成語；駕鶴西去
高級小學	463	n			
鴻雁傳書	463	n,v	idiom		成語；鴻雁傳書
七拐八拐	462	a,v	idiom		成語；七拐八拐
作賤自己	462	v			
十指連心	462	a,v	idiom		成語；十指連心
卓見	462	n			
大排長龍	462	v	idiom		成語；大排長龍
子孫滿堂	462	a,v	idiom		成語；子孫滿堂
對數函數	462	n			
惹人注意	462	v			
摩擦阻力	462	n			
效益工資	462	n			
條分縷析	462	v	idiom		成語；條分縷析
櫛風沐雨	462	v	idiom		成語；櫛風沐雨
毫無效果	462	a			
滿門抄斬	462	v	idiom		成語；滿門抄斬
細胞骨架	462	n			
腦力激盪	462	n,v			
自毀長城	462	v	idiom		成語；自毀長城
色情行業	462	n			
連體嬰兒	462	n			
避實就虛	462	v	idiom		成語；避實就虛
酒色財氣	462	n	idiom		成語；酒色財氣
金剛薩埵	462	n			佛教名
飯後服用	462	v			藥囑
久仰大名	461	v	idiom		成語；久仰大名
免受傷害	461	v			
凸版印刷	461	n			
初級小學	461	n			
孔融讓梨	461	n,v	idiom		典故；孔融讓梨
學成歸國	461	v			
宅心仁厚	461	a	idiom		成語；宅心仁厚
布朗運動	461	n			Brownian motion
強忍悲痛	461	v			
心硬	461	a			
放手去做	461	v			
敗事有餘	461	a,v	idiom		成語截；成事不足敗事有餘
文字學家	461	n			
文治武功	461	n	idiom		成語；文治武功
樂府詩集	461	n			書名
死無對證	461	a,v	idiom		成語；死無對證
水花四濺	461	a,v			
獨資經營	461	n,v			
護士學校	461	n			
賞心樂事	461	n	idiom		成語；賞心樂事
風光明媚	461	a	idiom		成語；風光明媚
餘情未了	461	a			
高山反應	461	n			
三年五載	460	n,r	idiom		成語；三年五載
不勝唏噓	460	a,v	idiom		成語；不勝唏噓
嚴辦	460	v			
土豪劣紳	460	n	idiom		成語；土豪劣紳
坐收漁利	460	v	idiom		成語；坐收漁利
夜幕低垂	460	a,v			
孫臏兵法	460	n			書名
家常豆腐	460	n			食名
曲線擬合	460	n			
杜鵑啼血	460	n,v	idiom		成語；杜鵑啼血
生理時鐘	460	n			
畏縮不前	460	a,v	idiom		成語；畏縮不前
窮奢極欲	460	a,v	idiom		成語；窮奢極欲
腐敗無能	460	a			
言歸於好	460	v	idiom		成語；言歸於好
追本溯源	460	v	idiom		成語；追本溯源
逢低買進	460	v			
遺傳學家	460	n			
金縷玉衣	460	n			
陰險毒辣	460	a			
隨機存取	460	n			random access
風雨如晦	460	a	idiom		成語；風雨如晦
三人成虎	459	n,v	idiom		成語；三人成虎
以身殉職	459	v	idiom		成語；以身殉職
伽馬射線	459	n			
分子運動	459	n			
咬舌自盡	459	v			
外圓內方	459	a	idiom		成語；外圓內方
州官放火	459	v	idiom		成語截；只許州官放火
布爾喬亞	459	n			bourgeois
文科學生	459	n			
死乞白賴	459	a,v	idiom		成語；死乞白賴
死而復活	459	v			
沒有品味	459	a			
活動看板	459	n			
漆黑一團	459	a	idiom		成語；漆黑一團
無補於事	459	a,v	idiom		成語；無補於事
獨霸一方	459	v	idiom		成語；獨霸一方
病毒營銷	459	n			
簡單機械	459	n			
肉中刺	459	n	idiom		成語截；眼中釘肉中刺
自肥	459	v			
色情雜誌	459	n			
計時收費	459	n,v			
轉動慣量	459	n			
近鄉情怯	459	a,v	idiom		成語；近鄉情怯
金融寡頭	459	n			
靜脈點滴	459	n			
三度空間	458	n			
三角戀愛	458	n			
主動脈弓	458	n			
兄弟鬩牆	458	v	idiom		成語；兄弟鬩牆
印度音樂	458	n			
命在旦夕	458	a	idiom		成語；命在旦夕
得隴望蜀	458	v	idiom		成語；得隴望蜀
從心所欲	458	a,v	idiom		成語；從心所欲
捉拿歸案	458	v			
擁政愛民	458	v			
業界標準	458	n			
民怨沸騰	458	a,v			
異亮氨酸	458	n			氨基酸
病毒式營銷	458	n			
痛入骨髓	458	a,v	idiom		成語；痛入骨髓
終審法院	458	n			
肝腦塗地	458	v	idiom		成語；肝腦塗地
臉都綠了	458	a			
資本外逃	458	n,v			
乘龍快婿	457	n	idiom		成語；乘龍快婿
儀態萬千	457	a	idiom		成語；儀態萬千
全權大使	457	n			
吉卜賽人	457	n			
地方停車	457	n			
大傷元氣	457	v	idiom		成語；大傷元氣
大地回春	457	a,v			
學校成績	457	n			
悶聲不響	457	a,v	idiom		成語；悶聲不響
手到病除	457	v	idiom		成語；手到病除
排起長隊	457	v			
攜家帶口	457	v	idiom		成語；攜家帶口
數字時鐘	457	n			
楚漢相爭	457	n,v			史事
概莫能外	457	a,v	idiom		成語；概莫能外
步進馬達	457	n			
法利賽人	457	n			Pharisees
波譎雲詭	457	a	idiom		成語；波譎雲詭
深切關懷	457	n,v			
滔天大罪	457	n	idiom		成語；滔天大罪
瀕臨絕種	457	a,v			
無處容身	457	a,v			
立克次體	457	n			Rickettsia
立身處世	457	n,v	idiom		成語；立身處世
老而彌堅	457	a	idiom		成語；老而彌堅
腦滿腸肥	457	a	idiom		成語；腦滿腸肥
販賣人口	457	n,v			
閉門謝客	457	v	idiom		成語；閉門謝客
一招半式	456	n	idiom		成語；一招半式
互相連接	456	v			
人非草木	456	a	idiom		成語截；人非草木孰能無情
伐木工人	456	n			
值得品味	456	a			
分而治之	456	v			
古文字學	456	n			
古爾邦節	456	n			節名
名譽掃地	456	a,v	idiom		成語；名譽掃地
含笑九泉	456	v	idiom		成語；含笑九泉
屏氣凝神	456	v	idiom		成語；屏氣凝神
屢禁不絕	456	a,v			
師出有名	456	a,v	idiom		成語；師出有名
後製	456	n,v			post-production
徐娘半老	456	a,n	idiom		成語；徐娘半老
擾人清夢	456	v			
故步自封	456	a,v	idiom		成語；故步自封
枉費心機	456	v	idiom		成語；枉費心機
