literal	pos	family	voice	note	source	confidence
㗎	u			no-source	fallback	low
左	u			no-source	fallback	low
得	u			no-source	fallback	low
地	n			cow-single	cow	medium
同	x,v			heuristic	heuristic	high
人	n			cow-single	cow	medium
先	u			no-source	fallback	low
多	a,r			heuristic	heuristic	high
無	v,a,x			heuristic	heuristic	high
下	u			no-source	fallback	low
搵	u			no-source	fallback	low
入	v			cow-single	cow	medium
大	u			no-source	fallback	low
過	v			cow-single	cow	medium
出	u			no-source	fallback	low
快	u			no-source	fallback	low
手	n			cow-single	cow	medium
返	u			no-source	fallback	low
、	u			no-source	fallback	low
望	v			cow-single	cow	medium
是	v,x			heuristic	heuristic	high
緊	u			no-source	fallback	low
笑	v			cow-single	cow	medium
買	v			cow-single	cow	medium
野	u			no-source	fallback	low
吓	u			no-source	fallback	low
行	u			no-source	fallback	low
起	u			no-source	fallback	low
小	u			no-source	fallback	low
次	u			no-source	fallback	low
問	v			cow-single	cow	medium
回覆日期	u			no-source	fallback	low
女	u			no-source	fallback	low
頭	n			cow-single	cow	medium
晒	u			no-source	fallback	low
俊俊	u			no-source	fallback	low
後	n			cow-single	cow	medium
日	n			cow-single	cow	medium
張	u			no-source	fallback	low
水	n			cow-single	cow	medium
將	x,v			heuristic	heuristic	high
涼	u			no-source	fallback	low
我同	u			no-source	fallback	low
腳	n			cow-single	cow	medium
低	u			no-source	fallback	low
前	a			cow-single	cow	medium
芷純	u			no-source	fallback	low
高	v			cow-single	cow	medium
成	v			cow-single	cow	medium
我講	u			no-source	fallback	low
學	v			cow-single	cow	medium
長	u			no-source	fallback	low
依	a			cow-single	cow	medium
都是	u			no-source	fallback	low
車車	u			no-source	fallback	low
小貞	u			no-source	fallback	low
送	v			cow-single	cow	medium
教	v			cow-single	cow	medium
本	u			no-source	fallback	low
名	n			cow-single	cow	medium
唱	v			cow-single	cow	medium
我望	u			no-source	fallback	low
右	a			cow-single	cow	medium
細	u			no-source	fallback	low
果	u			no-source	fallback	low
信	n			cow-single	cow	medium
我要	u			no-source	fallback	low
和	x			heuristic	heuristic	high
我個	u			no-source	fallback	low
姐	u			no-source	fallback	low
嫁	v			cow-single	cow	medium
我會	u			no-source	fallback	low
有個	u			no-source	fallback	low
謙謙	u			no-source	fallback	low
男	u			no-source	fallback	low
特別	u			no-source	fallback	low
床	u			no-source	fallback	low
很多	u			no-source	fallback	low
皓臻	u			no-source	fallback	low
記	u			no-source	fallback	low
支	n			cow-single	cow	medium
明	u			no-source	fallback	low
一望	u			no-source	fallback	low
也是	u			no-source	fallback	low
相信	n,v			cow-multi	cow	medium
拉	n,v			cow-multi	cow	medium
生	u			no-source	fallback	low
阿心	u			no-source	fallback	low
舊	u			no-source	fallback	low
我地	u			no-source	fallback	low
三葉	u			no-source	fallback	low
我問	u			no-source	fallback	low
咗個	u			no-source	fallback	low
的人	u			no-source	fallback	low
一聲	u			no-source	fallback	low
返到	u			no-source	fallback	low
郁	u			no-source	fallback	low
阿明	u			no-source	fallback	low
妹	n			cow-single	cow	medium
溼	u			no-source	fallback	low
番鹼	u			no-source	fallback	low
分	n,v			cow-multi	cow	medium
我話	u			no-source	fallback	low
講完	v			verb-suffix	heuristic	medium
火	n			cow-single	cow	medium
你講	u			no-source	fallback	low
方	u			no-source	fallback	low
當我	u			no-source	fallback	low
裏	n			cow-single	cow	medium
附近	n			cow-single	cow	medium
一句	u			no-source	fallback	low
一種	u			no-source	fallback	low
阿政	u			no-source	fallback	low
我的	u			no-source	fallback	low
一條	u			no-source	fallback	low
肥	n			cow-single	cow	medium
親	v			cow-single	cow	medium
講過	v			verb-suffix	heuristic	medium
遠	u			no-source	fallback	low
壞	a			cow-single	cow	medium
個樣	u			no-source	fallback	low
影	u			no-source	fallback	low
我知	u			no-source	fallback	low
你的	u			no-source	fallback	low
嘅人	u			no-source	fallback	low
接受	n,v			cow-multi	cow	medium
變得	u			no-source	fallback	low
詩音	u			no-source	fallback	low
貓貓	u			no-source	fallback	low
游	u			no-source	fallback	low
感受	v			cow-single	cow	medium
重	v			cow-single	cow	medium
講到	u			no-source	fallback	low
好的	u			no-source	fallback	low
鐘意	u			no-source	fallback	low
內	u			no-source	fallback	low
紅	u			no-source	fallback	low
近	u			no-source	fallback	low
我仲	u			no-source	fallback	low
魔	u			no-source	fallback	low
問我	u			no-source	fallback	low
三個	u			no-source	fallback	low
受	v			cow-single	cow	medium
我點	u			no-source	fallback	low
嘉琪	u			no-source	fallback	low
檯	u			no-source	fallback	low
一間	u			no-source	fallback	low
賣	n,v			cow-multi	cow	medium
中的	u			no-source	fallback	low
交	u			no-source	fallback	low
工	u			no-source	fallback	low
准	u			no-source	fallback	low
驚訝	a,n			cow-multi	cow	medium
利利	u			no-source	fallback	low
一件	u			no-source	fallback	low
尾	n			cow-single	cow	medium
我用	u			no-source	fallback	low
軒轅	u			no-source	fallback	low
他的	u			no-source	fallback	low
我將	u			no-source	fallback	low
天	n			cow-single	cow	medium
個頭	u			no-source	fallback	low
阿文	u			no-source	fallback	low
無事	u			no-source	fallback	low
仆	u			no-source	fallback	low
小熙	u			no-source	fallback	low
雙	u			no-source	fallback	low
行到	u			no-source	fallback	low
今	u			no-source	fallback	low
硬	u			no-source	fallback	low
阿南	u			no-source	fallback	low
夜	n			cow-single	cow	medium
嘅事	u			no-source	fallback	low
深	u			no-source	fallback	low
暖	u			no-source	fallback	low
熟	u			no-source	fallback	low
應	u			no-source	fallback	low
急	u			no-source	fallback	low
到了	u			no-source	fallback	low
咗去	v			verb-suffix	heuristic	medium
阿嘉	u			no-source	fallback	low
讓我	u			no-source	fallback	low
雪琪	u			no-source	fallback	low
一笑	u			no-source	fallback	low
去邊	u			no-source	fallback	low
星華	u			no-source	fallback	low
講得	u			no-source	fallback	low
好了	u			no-source	fallback	low
外	u			no-source	fallback	low
時侯	u			no-source	fallback	low
遲	u			no-source	fallback	low
一年	u			no-source	fallback	low
我是	u			no-source	fallback	low
扑	u			no-source	fallback	low
來說	u			no-source	fallback	low
子	u			no-source	fallback	low
阿晴	u			no-source	fallback	low
一張	u			no-source	fallback	low
我行	u			no-source	fallback	low
宜家	u			no-source	fallback	low
咗好	v			verb-suffix	heuristic	medium
一般	n			cow-single	cow	medium
西	n			cow-single	cow	medium
我也	u			no-source	fallback	low
書書	u			no-source	fallback	low
輸	u			no-source	fallback	low
對住	v			verb-suffix	heuristic	medium
試下	v			verb-suffix	heuristic	medium
音	u			no-source	fallback	low
也不	u			no-source	fallback	low
也有	u			no-source	fallback	low
𥄫	u			no-source	fallback	low
嚇到	u			no-source	fallback	low
熟悉	n			cow-single	cow	medium
天凡	u			no-source	fallback	low
岩	u			no-source	fallback	low
城	n			cow-single	cow	medium
星儀	u			no-source	fallback	low
一份	u			no-source	fallback	low
都有	u			no-source	fallback	low
無錯	u			no-source	fallback	low
單	u			no-source	fallback	low
寶萱	u			no-source	fallback	low
我心	u			no-source	fallback	low
一臉	u			no-source	fallback	low
是個	u			no-source	fallback	low
小柔	u			no-source	fallback	low
輕	u			no-source	fallback	low
上的	u			no-source	fallback	low
先會	u			no-source	fallback	low
