literal	pos	family	voice	note
拔足狂奔	v	idiom		
拿腔作勢	a,v	idiom		
指腹為婚	v	idiom		
探親訪友	v	idiom		
推倒重來	v			
推濤作浪	v	idiom		
換句話説	r,x			
揹着	v			
搖鵝毛扇	v	idiom		
搞唔掂	a,v			
據為己有	v	idiom		
改為	v			
救火揚沸	v	idiom		
敢為人先	a,v	idiom		
敵眾我寡	a	idiom		
文藝語言	n			
明珠投暗	v	idiom		
明説	v			
春秋時期	n			
時隔不久	a,r			
晚黑	n,r			
晴空萬裏	a,n	idiom		
更弦易轍	v	idiom		
最為	r			
有失遠迎	v	idiom		
有性雜交	n			
有理函數	n			
有耐心	a			
有聲書	n			
有鑒於此	r,x			
朋比為奸	v	idiom		
望風捕影	v	idiom		
杳無人跡	a	idiom		
枯燥乏味	a	idiom		
桃李滿門	a,n	idiom		
橫説豎説	v	idiom		
橫躺豎卧	a,v	idiom		
欺世惑眾	v	idiom		
止咳水	n			
止跌回穩	v			
正當防衞	n,v			
正選	n,v			
武俠小説	n			
死氣白賴	a,r,v	idiom		
比如説	r,x			
毛公仔	n			
毫髮無傷	a	idiom		
民眾	n			
氣象衞星	n			
水上電單車	n			
水米無交	a	idiom		
汲取教訓	v			
沉冤得雪	v	idiom		
沒精打採	a	idiom		
油煎火燎	a	idiom		
泰然自得	a	idiom		
洋為中用	v	idiom		
消極影響	n			
深入生活	v			
深受其害	v	idiom		
深孚眾望	a,v	idiom		
減税	n,v			
温文爾雅	a	idiom		
温書	v			
温柔	a			
準許	n,v			
滴裏嘟嚕	a,r			
為主	v,x			
為了	x			
為人作嫁	v	idiom		
為什麼	r,x			
為何	r,x			
為啥	r,x			
為善	v			
為富不仁	a	idiom		
為時已晚	a	idiom		
為時過早	a	idiom		
為止	x			
為此	r,x			
烏蘭巴託	n			
無以為繼	a,v	idiom		
無可指責	a	idiom		
無名腫毒	n			
無所作為	a,v	idiom		
無精打採	a	idiom		
無縫接軌	v	idiom		
無話可説	a,v	idiom		
熱情接待	v			
牛年馬月	n,r	idiom		
物質損耗	n			
特惠關税	n			
犁庭掃閭	v	idiom		
狼狽為奸	v	idiom		
環境衞生	n			
環狀軟骨	n			
生猛海鮮	n			
生蛇	n,v			
用心險惡	a	idiom		
由下而上	r			
畢業禮	n			
異端邪説	n	idiom		
痴心妄想	a,n,v	idiom		
