literal	pos	family	voice	note
蠅糞點玉	a	idiom		
血統工人	n			
行人天橋	n			
衣著打扮	n,v			
袍笏登場	v	idiom		
裝傻充愣	v	idiom		
見兔顧犬	v	idiom		
見義勇為	v	idiom		
視同己出	v	idiom		
視為	v			
親疏有別	a	idiom		
言情小説	n			
討回公道	v			
説不定	r,v			
説來話長	a,r	idiom		
説唱文學	n			
説實話	r,v			
説得過去	a,v			
説道	v			
談古論今	v	idiom		
談情説愛	v	idiom		
諸事不順	a			
講大話	v			
謠言惑眾	v	idiom		
變為	v			
賞心悦目	a	idiom		
質次價高	a			
超脱	a,v			
趙公元帥	n			
足不出户	v	idiom		
身為	v			
較為	r			
輔助貨幣	n			
輸油管線	n			
轉危為安	v	idiom		
轉悲為喜	v	idiom		
轍亂旗靡	a,v	idiom		
辨證施治	n,v			
迄今為止	r			
迫於無奈	a,v			
迴天乏術	a	idiom		
迴心轉意	v	idiom		
這就是説	r,x			
通風報訊	v	idiom		
速效肥料	n			
造謠惑眾	v	idiom		
週而復始	v	idiom		
過冬作物	n			
過路財神	n	idiom		
違禁物品	n			
遺害無窮	a	idiom		
重新啟動	v			
金睛火眼	a,n	idiom		
針砭時弊	v	idiom		
針頭線腦	n	idiom		
銅管樂	n			
長篇小説	n			
長話短説	v	idiom		
閉口不言	v	idiom		
閉口無言	a,v	idiom		
開學禮	n			
關你屁事	v,x			
降温	n,v			
隨遇平衡	n			
隨鄉入鄉	v	idiom		
隱秘	a,n			
隻字未提	v	idiom		
雀巢咖啡	n			
雞犬昇天	v	idiom		
雞飛狗走	a,v	idiom		
難以名狀	a	idiom		
難以言喻	a	idiom		
難吃	a			
電光火石	n,r	idiom		
電弧焊接	n,v			
電熱水壺	n			
非同凡響	a	idiom		
面青	a			
鞭闢入裏	a	idiom		
順風吹火	v	idiom		
頗為	r			
風雨如磐	a	idiom		
飛潛動植	n			
飛砂走石	a,v	idiom		
飛針走線	v	idiom		
驅動程式	n			
驢年馬月	n,r	idiom		
體温	n			
高抬貴手	v	idiom		
高氣壓區	n			
高温作業	n			
鬆身	v			
魚肉鄉裏	v	idiom		
魚遊釜中	a,v	idiom		
鮮為人知	a	idiom		
鵬程萬裏	a,n	idiom		
鵲橋相會	n,v	idiom		
鼎力支持	v			
鼠竊狗偷	n,v	idiom		
鼻化元音	n			
