literal	pos	family	voice	note
登門造訪	v	idiom		
發人深醒	a,v	idiom		
白熾電燈	n			
盡力而為	v	idiom		
盲人瞎馬	a,n	idiom		
盲婚啞嫁	n,v	idiom		
直上雲霄	v	idiom		
看人下菜	v	idiom		
真偽莫辨	a,v	idiom		
真材實料	a,n	idiom		
真金白銀	n	idiom		
眾	n			
眾人	n			
眾叛親離	a,v	idiom		
眾口一詞	a,v	idiom		
眾多	a			
眾所周知	a,r	idiom		
眾目昭彰	a	idiom		
睇唔見	v			
瞓低	v			
矢口抵賴	v	idiom		
知書識禮	a	idiom		
知錯必改	v	idiom		
短篇小説	n			
矮細	a			
破涕為笑	v	idiom		
破舊不堪	a	idiom		
碰到困難	v			
磕頭碰腦	a,v	idiom		
磨杵成針	v	idiom		
祖傳秘方	n			
秘書長	n			
秘而不宣	a,v	idiom		
租樓	v			
秦鏡高懸	a,v	idiom		
稍安毋躁	v	idiom		
稚氣未脱	a	idiom		
稱之為	v			
穩中有降	a,v			
空氣軸承	n			
穿針引線	v	idiom		
窮源溯流	v	idiom		
竊玉偷香	v	idiom		
章回小説	n			
笨嘴拙舌	a	idiom		
粗聲大氣	a,n	idiom		
精仔	n			
精叻	a			
精彩絕倫	a	idiom		
精神爽利	a	idiom		
精衞填海	n,v	idiom		
細菌肥料	n			
細説	v			
細隻	a			
絕對濕度	n			
經濟雜交	n			
綿裏藏針	a,v	idiom		
總的來説	r			
羞人答答	a	idiom		
群眾	n			
翫忽職守	v	idiom		
聚訟紛紜	a,v	idiom		
肆意妄為	v	idiom		
肢體暴力	n			
肩摩踵接	a,v	idiom		
肩摩轂擊	a,v	idiom		
胡作非為	v	idiom		
胡説八道	n,v	idiom		
胸中無數	a	idiom		
能者為師	v	idiom		
脱口而出	v	idiom		
脱節	n,v			
脱衣	v			
脱貧致富	v	idiom		
脱離實際	a,v			
膘肥體壯	a	idiom		
膽破心驚	a,v	idiom		
臨陣脱逃	v	idiom		
自以為是	a,v	idiom		
自尋短見	v	idiom		
自相驚擾	v	idiom		
與眾不同	a	idiom		
興趣盎然	a	idiom		
舉重若輕	a,v	idiom		
舊型	a,n			
船堅炮利	a,n	idiom		
芝麻綠豆	a,n	idiom		
花灑頭	n			
苛捐雜税	n	idiom		
苦口良藥	n	idiom		
荒時暴月	n	idiom		
莫可指數	a	idiom		
萬裏長城	n			
萬裏長徵	n			
著書立説	v	idiom		
蔚為大觀	a,v	idiom		
虛報冒領	n,v			
蛇蠍心腸	a,n	idiom		
蜕化變質	n,v	idiom		
蝕錢	v			
蝸行牛步	a,v	idiom		
融為一體	v	idiom		
