literal	pos	family	voice	note
吃閉門羹	v	idiom		
各自為政	v	idiom		
名為	v			
吐氣揚眉	v	idiom		
呃人	v			
呢啲	x			
命懸一線	a,v	idiom		
和顏悦色	a	idiom		
品質檢查	n,v			
哄抬	v			
唇亡齒寒	a	idiom		
唔小心	a,r			
唔得	a,v,x			
唱對台戲	v	idiom		
問柳尋花	v	idiom		
啟程	v			
喜結連理	v	idiom		
單人獨馬	a,r	idiom		
單門獨户	n			
喺度	r,v			
嗜酒成性	a,v	idiom		
嗰啲	x			
噬臍莫及	a,v	idiom		
嚴刑逼供	v			
四散奔逃	v			
地震震級	n			
坐卧不寧	a,v	idiom		
堅毅不屈	a	idiom		
外便	n			
多士爐	n			
大吃一驚	v	idiom		
大好前程	n			
大庭廣眾	n,r	idiom		
大政方針	n			
大有可為	a	idiom		
大眾	n			
大眾運輸	n			
天朗氣清	a	idiom		
天氣預測	n			
天高氣爽	a	idiom		
太平龍頭	n			
失聯	n,v			
好仔	n			
好吃	a			
好説歹説	v	idiom		
如坐針氈	a	idiom		
妖言惑眾	v	idiom		
嫻熟	a			
字裡行間	n,r	idiom		
學有所成	a,v	idiom		
學有所長	a	idiom		
安守本分	v	idiom		
官立學校	n			
定海神針	n	idiom		
家喻户曉	a	idiom		
家無寧日	a	idiom		
寅吃卯糧	v	idiom		
密不透風	a	idiom		
密鑼緊鼓	a,r	idiom		
實存	a,n			
實而不華	a	idiom		
尋人啟事	n			
對沖基金	n			
小兒麻痺	n			
居無定所	a,v	idiom		
屬垣有耳	a	idiom		
屹立不倒	a,v	idiom		
工力悉敵	a	idiom		
常年累月	r	idiom		
平方呎	n			
平淡如水	a	idiom		
平等待人	v			
平鋪直敍	a,v	idiom		
年久月深	a,r	idiom		
年輕有為	a	idiom		
幾經周折	r,v	idiom		
店舖	n			
度身訂造	a,v			
廣為人知	a	idiom		
引以為戒	v	idiom		
引以為鑑	v	idiom		
引體上升	n,v			
張燈結彩	v	idiom		
復闢	v			
德藝雙馨	a	idiom		
心悦誠服	a,v	idiom		
忘我工作	v			
思覺失調	n			
悲憤填膺	a	idiom		
慈善團體	n			
慈悲為懷	a,v	idiom		
慧眼獨具	a	idiom		
我嘅	x			
户內	n,r			
户樞不蠹	a	idiom		
手頭鬆	a			
扭力天平	n			
扭虧為盈	v	idiom		
抬頭	v			
拆台	v			
拉脱維亞	n			
拋諸腦後	v	idiom		
